epoch,step,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark
1,251,69.12,60.76,80.17,66.67,56.81,80.66,
2,502,84.81,79.79,90.5,81.21,78.97,83.58,
3,753,87.27,80.52,95.25,84.18,77.18,92.58,
4,1004,92.46,90.36,94.66,91.04,91.21,90.88,
5,1255,93.51,91.29,95.84,92.57,92.68,92.46,
6,1506,96.03,95.75,96.32,93.64,94.21,93.07,
7,1757,94.53,96.88,92.28,92.83,96.09,89.78,
8,2008,93.63,90.57,96.91,91.91,88.69,95.38,
9,2259,96.44,96.33,96.56,93.85,94.02,93.67,
10,2510,96.85,96.8,96.91,94.59,96.7,92.58,
11,2761,96.9,97.25,96.56,96.36,97.63,95.13,
12,3012,96.93,96.25,97.62,94.85,95.67,94.04,
13,3263,97.49,98.08,96.91,96.0,97.14,94.89,
14,3514,95.39,97.52,93.35,93.0,96.59,89.66,
15,3765,97.2,97.49,96.91,95.29,97.22,93.43,
16,4016,97.84,98.79,96.91,96.63,97.29,95.99,
17,4267,97.14,97.37,96.91,94.51,95.87,93.19,
18,4518,96.51,96.22,96.79,96.28,96.46,96.11,
19,4769,97.55,98.19,96.91,96.35,98.11,94.65,
20,5020,97.38,97.5,97.27,96.93,97.89,95.99,
21,5271,96.76,96.13,97.39,96.45,97.16,95.74,
22,5522,97.49,97.96,97.03,96.49,97.63,95.38,
23,5773,97.5,97.85,97.15,96.44,97.39,95.5,
24,6024,96.71,95.7,97.74,94.96,93.72,96.23,
25,6275,97.32,97.5,97.15,96.58,97.05,96.11,
26,6526,97.38,97.61,97.15,96.68,97.76,95.62,
27,6777,97.6,98.67,96.56,96.09,97.98,94.28,
28,7028,97.5,97.62,97.39,96.09,96.56,95.62,
29,7279,97.51,97.51,97.51,96.55,97.87,95.26,
30,7530,97.45,97.39,97.51,97.05,98.13,95.99,
31,7781,97.39,97.39,97.39,96.81,97.77,95.86,
32,8032,97.14,97.37,96.91,96.5,97.4,95.62,
33,8283,97.56,97.85,97.27,96.87,97.77,95.99,
34,8534,97.17,98.42,95.96,96.41,98.11,94.77,
35,8785,97.8,97.97,97.62,97.49,98.03,96.96,
36,9036,97.69,97.63,97.74,97.24,98.02,96.47,
37,9287,97.91,98.32,97.51,97.61,98.51,96.72,
38,9538,97.39,97.16,97.62,97.56,97.92,97.2,
39,9789,97.74,97.97,97.51,97.24,98.02,96.47,
40,10040,97.73,98.2,97.27,97.73,98.64,96.84,best_test_f1
41,10291,97.8,97.97,97.62,97.3,98.02,96.59,
42,10542,97.8,97.86,97.74,97.43,97.91,96.96,
43,10793,97.62,97.62,97.62,97.31,97.67,96.96,
44,11044,97.97,98.33,97.62,97.43,97.91,96.96,
45,11295,98.03,98.44,97.62,97.67,98.4,96.96,best_dev_f1
46,11546,98.03,98.33,97.74,97.67,98.28,97.08,best_dev_f1
47,11797,97.97,98.33,97.62,97.73,98.4,97.08,best_test_f1
48,12048,97.97,98.33,97.62,97.73,98.4,97.08,best_test_f1
49,12299,97.97,98.33,97.62,97.73,98.4,97.08,best_test_f1
50,12550,98.03,98.44,97.62,97.73,98.4,97.08,best_dev_f1;best_test_f1
