epoch,step,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark
1,1501,0.00,0.00,0.00,0.00,0.00,0.00,best
2,3002,35.34,90.24,21.97,41.11,97.72,26.03,best
3,4503,56.85,87.22,42.16,66.20,91.99,51.70,best
4,6004,60.90,91.65,45.61,70.71,93.95,56.69,best
5,7505,67.36,89.06,54.16,74.29,91.77,62.41,best
6,9006,68.92,90.37,55.70,75.16,92.84,63.14,best
7,10507,68.78,90.50,55.46,75.16,92.06,63.50,
8,12008,70.39,90.49,57.60,76.55,91.25,65.94,best
9,13509,70.91,90.74,58.19,77.46,90.83,67.52,best
10,15010,71.01,90.76,58.31,77.37,90.82,67.40,best
11,16511,71.40,91.47,58.55,78.06,90.94,68.37,best
12,18012,74.81,90.69,63.66,80.19,91.04,71.65,best
13,19513,76.80,91.75,66.03,81.92,93.73,72.75,best
14,21014,79.43,91.89,69.95,83.20,92.04,75.91,best
15,22515,81.47,90.80,73.87,84.62,92.50,77.98,best
16,24016,83.23,93.23,75.18,85.28,93.73,78.22,best
17,25517,84.76,94.32,76.96,87.16,96.18,79.68,best
18,27018,84.51,93.52,77.08,87.11,95.37,80.17,
19,28519,86.69,95.04,79.69,88.44,96.14,81.87,best
20,30020,88.12,95.30,81.95,89.32,95.44,83.94,best
21,31521,87.80,95.53,81.24,89.19,95.94,83.33,
22,33022,89.02,96.92,82.30,89.09,95.54,83.45,best
23,34523,89.63,95.19,84.68,91.00,96.46,86.13,best
24,36024,89.61,94.12,85.51,91.00,95.70,86.74,
25,37525,91.24,97.18,85.99,91.18,94.52,88.08,best
26,39026,90.54,95.76,85.87,91.82,96.77,87.35,
27,40527,91.15,95.93,86.82,91.04,94.62,87.71,
