lr;epoch;iteration;global_iteration
3.3311125916055966e-07;0;100;100
6.662225183211193e-07;0;200;200
9.99333777481679e-07;0;300;300
1.3324450366422386e-06;0;400;400
1.6655562958027983e-06;0;500;500
1.998667554963358e-06;0;600;600
2.3317788141239174e-06;0;700;700
2.6648900732844773e-06;0;800;800
2.9980013324450367e-06;0;900;900
3.3311125916055966e-06;0;1000;1000
3.664223850766156e-06;0;1100;1100
3.997335109926716e-06;0;1200;1200
4.330446369087276e-06;0;1300;1300
4.663557628247835e-06;0;1400;1400
4.996668887408395e-06;0;1500;1500
9.926715522984678e-06;1;99;1600
9.852690798726776e-06;1;199;1700
9.778666074468874e-06;1;299;1800
9.704641350210972e-06;1;399;1900
9.630616625953068e-06;1;499;2000
9.556591901695166e-06;1;599;2100
9.482567177437266e-06;1;699;2200
9.408542453179362e-06;1;799;2300
9.33451772892146e-06;1;899;2400
9.260493004663558e-06;1;999;2500
9.186468280405656e-06;1;1099;2600
9.112443556147754e-06;1;1199;2700
9.038418831889852e-06;1;1299;2800
8.96439410763195e-06;1;1399;2900
8.890369383374048e-06;1;1499;3000
8.816344659116144e-06;2;98;3100
8.742319934858244e-06;2;198;3200
8.668295210600342e-06;2;298;3300
8.594270486342438e-06;2;398;3400
8.520245762084536e-06;2;498;3500
8.446221037826634e-06;2;598;3600
8.372196313568732e-06;2;698;3700
8.29817158931083e-06;2;798;3800
8.224146865052928e-06;2;898;3900
8.150122140795026e-06;2;998;4000
8.076097416537124e-06;2;1098;4100
8.002072692279222e-06;2;1198;4200
7.92804796802132e-06;2;1298;4300
7.854023243763418e-06;2;1398;4400
7.779998519505515e-06;2;1498;4500
7.705973795247613e-06;3;97;4600
7.631949070989712e-06;3;197;4700
7.557924346731809e-06;3;297;4800
7.483899622473907e-06;3;397;4900
7.4098748982160055e-06;3;497;5000
7.335850173958103e-06;3;597;5100
7.261825449700201e-06;3;697;5200
7.187800725442299e-06;3;797;5300
7.113776001184396e-06;3;897;5400
7.039751276926495e-06;3;997;5500
6.965726552668593e-06;3;1097;5600
6.89170182841069e-06;3;1197;5700
6.817677104152788e-06;3;1297;5800
6.743652379894885e-06;3;1397;5900
6.669627655636983e-06;3;1497;6000
6.595602931379082e-06;4;96;6100
6.521578207121179e-06;4;196;6200
6.447553482863277e-06;4;296;6300
6.373528758605375e-06;4;396;6400
6.299504034347472e-06;4;496;6500
6.225479310089571e-06;4;596;6600
6.151454585831669e-06;4;696;6700
6.077429861573766e-06;4;796;6800
6.003405137315864e-06;4;896;6900
5.929380413057961e-06;4;996;7000
5.85535568880006e-06;4;1096;7100
5.781330964542158e-06;4;1196;7200
5.707306240284255e-06;4;1296;7300
5.633281516026353e-06;4;1396;7400
5.559256791768451e-06;4;1496;7500
5.485232067510548e-06;5;95;7600
5.411207343252647e-06;5;195;7700
5.337182618994745e-06;5;295;7800
5.263157894736842e-06;5;395;7900
5.18913317047894e-06;5;495;8000
