epoch,step,train_loss,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,dev_flat_f1,dev_flat_precision,dev_flat_recall,test_flat_f1,test_flat_precision,test_flat_recall,lr,remark
1,751,10.545468,72.18,62.45,85.51,70.31,60.54,83.82,72.46,62.53,86.14,70.38,60.54,84.02,0.00100000,best
2,1502,1.483587,75.77,63.48,93.94,69.58,56.70,90.02,76.04,63.56,94.62,69.65,56.70,90.24,0.00100000,best
3,2253,0.719831,77.46,65.15,95.49,69.09,55.60,91.24,77.74,65.24,96.18,69.16,55.60,91.46,0.00100000,best
4,3004,0.347902,76.75,64.71,94.30,66.82,53.25,89.66,77.03,64.79,94.98,66.88,53.25,89.88,0.00100000,
5,3755,0.225183,84.38,76.12,94.66,82.23,73.96,92.58,84.71,76.22,95.34,82.31,73.96,92.80,0.00100000,best
6,4506,0.144110,83.54,75.14,94.06,79.91,70.94,91.48,83.87,75.24,94.74,80.00,70.94,91.71,0.00100000,
7,5257,0.093219,84.41,76.88,93.59,74.28,63.71,89.05,84.75,76.98,94.27,74.35,63.71,89.27,0.00100000,best
8,6008,0.087098,86.15,82.20,90.50,68.35,60.19,79.08,86.51,82.31,91.16,68.42,60.19,79.27,0.00100000,best
9,6759,0.073098,86.61,79.66,94.89,77.66,67.66,91.12,86.96,79.76,95.58,77.74,67.66,91.34,0.00100000,best
10,7510,0.055762,82.03,75.94,89.19,72.67,62.98,85.89,82.37,76.04,89.84,72.75,62.98,86.10,0.00100000,
11,8261,0.076856,82.97,74.43,93.71,72.77,60.90,90.39,83.29,74.53,94.38,72.84,60.90,90.61,0.00100000,
12,9012,0.052756,83.98,79.24,89.31,69.76,60.05,83.21,84.32,79.35,89.96,69.83,60.05,83.41,0.00100000,
13,9763,0.043701,88.94,84.73,93.59,81.89,76.78,87.71,89.30,84.84,94.27,81.98,76.78,87.93,0.00100000,best
14,10514,0.049037,76.43,67.55,88.00,71.30,61.44,84.91,76.73,67.64,88.65,71.37,61.44,85.12,0.00100000,
15,11265,0.037427,81.06,72.93,91.21,61.01,47.23,86.13,81.38,73.03,91.88,61.06,47.23,86.34,0.00100000,
16,12016,0.046176,83.24,75.58,92.64,75.80,66.45,88.20,83.57,75.68,93.31,75.88,66.45,88.41,0.00100000,
17,12767,0.041490,87.77,87.31,88.24,71.79,63.63,82.36,88.15,87.43,88.89,71.87,63.63,82.56,0.00100000,
18,13518,0.039181,86.07,79.68,93.59,75.80,65.71,89.54,86.42,79.78,94.27,75.88,65.71,89.76,0.00100000,
19,14269,0.029228,89.18,89.29,89.07,83.08,80.88,85.40,89.56,89.40,89.73,83.18,80.88,85.61,0.00100000,best
20,15020,0.022768,80.22,73.95,87.65,53.57,40.28,79.93,80.54,74.05,88.29,53.61,40.28,80.12,0.00100000,
21,15771,0.023307,89.64,86.11,93.47,84.51,79.44,90.27,90.01,86.21,94.15,84.61,79.44,90.49,0.00100000,best
22,16522,0.028938,91.53,91.26,91.81,77.48,70.49,86.01,91.92,91.38,92.47,77.56,70.49,86.22,0.00100000,best
23,17273,0.028447,85.76,83.31,88.36,68.17,58.77,81.14,86.13,83.43,89.01,68.24,58.77,81.34,0.00100000,
24,18024,0.028330,88.40,86.83,90.02,76.85,70.96,83.82,88.77,86.94,90.68,76.94,70.96,84.02,0.00100000,
25,18775,0.017849,88.18,87.76,88.60,79.68,76.02,83.70,88.56,87.88,89.25,79.77,76.02,83.90,0.00100000,
26,19526,0.020027,90.04,89.36,90.74,77.90,71.36,85.77,90.43,89.47,91.40,77.99,71.36,85.98,0.00100000,
27,20277,0.024877,85.49,86.32,84.68,77.58,73.71,81.87,85.87,86.44,85.30,77.67,73.71,82.07,0.00100000,
28,21028,0.019001,88.14,84.05,92.64,78.03,70.83,86.86,88.50,84.16,93.31,78.12,70.83,87.07,0.00100000,
29,21779,0.017230,88.04,87.37,88.72,78.26,74.94,81.87,88.42,87.49,89.37,78.35,74.94,82.07,0.00100000,
30,22530,0.027855,85.63,84.25,87.05,70.75,61.74,82.85,86.00,84.37,87.69,70.83,61.74,83.05,0.00100000,
31,23281,0.016045,87.57,85.34,89.90,75.48,68.24,84.43,87.94,85.46,90.56,75.56,68.24,84.63,0.00100000,
32,24032,0.022217,86.17,86.48,85.87,76.50,72.96,80.41,86.55,86.60,86.50,76.59,72.96,80.61,0.00100000,
33,24783,0.017376,90.67,91.33,90.02,83.97,82.59,85.40,91.06,91.45,90.68,84.07,82.59,85.61,0.00100000,
