setting,module_status,source,phase,epoch,cumulative_epoch,step,dev_precision,dev_recall,dev_f1,test_precision,test_recall,test_f1,metric_source,log_or_checkpoint
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,1,1,3001,89.78,95.96,92.77,87.44,93.19,90.22,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,2,2,6002,97.58,95.72,96.64,95.93,91.85,93.85,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,3,3,9003,96.12,97.03,96.57,94.8,93.19,93.99,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,4,4,12004,97.37,96.56,96.96,96.44,95.62,96.03,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,5,5,15005,97.73,97.03,97.38,98.34,93.8,96.01,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,6,6,18006,98.08,97.27,97.67,97.65,96.23,96.94,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,7,7,21007,98.43,96.79,97.6,98.26,96.11,97.17,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,8,8,24008,98.55,97.03,97.79,98.37,95.74,97.04,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,9,9,27009,96.37,97.62,96.99,97.43,96.96,97.2,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,10,10,30010,97.86,97.62,97.74,98.27,96.47,97.36,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,11,11,33011,98.2,97.15,97.67,98.99,95.74,97.34,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,12,12,36012,98.67,97.27,97.97,98.76,96.72,97.73,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,13,13,39013,97.85,97.39,97.62,98.27,96.72,97.49,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,14,14,42014,98.57,97.98,98.27,98.52,97.2,97.86,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,15,15,45015,98.21,97.74,97.98,98.64,97.32,97.98,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,16,16,48016,97.62,97.39,97.5,98.27,96.84,97.55,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,17,17,51017,98.8,97.51,98.15,99.01,96.96,97.97,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,18,18,54018,97.28,97.62,97.45,98.52,97.08,97.79,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
DiFiNet full model,SNSA=on; HSR=on; PGD-AT=on,metric_log,full_model,19,19,57019,97.98,97.86,97.92,98.64,97.2,97.92,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260703_000756/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,1,1,3001,82.19,96.44,88.74,78.45,93.43,85.29,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,2,2,6002,90.86,96.79,93.73,87.13,93.92,90.4,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,3,3,9003,97.38,97.03,97.2,95.19,93.92,94.55,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,4,4,12004,97.37,96.91,97.14,96.1,95.99,96.04,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,5,5,15005,98.2,97.15,97.67,97.53,96.11,96.81,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,6,6,18006,97.74,97.51,97.62,97.31,96.84,97.07,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,7,7,21007,98.08,96.91,97.49,97.91,96.84,97.37,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,8,8,24008,97.96,97.15,97.56,97.2,96.96,97.08,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,9,9,27009,97.28,97.74,97.51,96.84,97.08,96.96,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,10,10,30010,96.59,97.51,97.04,97.32,97.08,97.2,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,11,11,33011,97.96,97.15,97.56,98.28,97.2,97.74,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,12,12,36012,98.79,97.03,97.9,98.4,97.08,97.73,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,13,13,39013,97.28,97.74,97.51,97.91,97.08,97.5,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,1,1,3001,77.04,96.44,85.65,79.28,93.55,85.83,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,2,2,6002,93.01,96.44,94.69,89.7,93.19,91.41,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,3,3,9003,96.79,96.79,96.79,95.77,93.55,94.65,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,4,4,12004,97.49,96.91,97.2,96.44,95.5,95.97,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,5,5,15005,97.61,97.03,97.32,97.99,95.01,96.48,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o SNSA,SNSA=off; HSR=on; PGD-AT=on,metric_log,single_run_partial,6,6,18006,97.38,97.27,97.33,97.66,96.59,97.13,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_204332/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,initial_run_epoch1,1,1,3001,79.92,95.49,87.01,75.02,92.09,82.69,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_234109/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,1,2,3001,85.55,96.32,90.61,78.85,93.43,85.52,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,2,3,6002,91.14,96.56,93.77,86.98,94.28,90.48,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,3,4,9003,94.88,96.79,95.83,90.89,93.43,92.14,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,4,5,12004,95.32,96.67,95.99,93.14,95.74,94.42,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,5,6,15005,93.72,97.51,95.58,93.2,96.72,94.93,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,6,7,18006,95.79,97.27,96.52,93.99,96.96,95.45,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
