setting,module_status,source,phase,epoch,cumulative_epoch,step,dev_precision,dev_recall,dev_f1,test_precision,test_recall,test_f1,metric_source,log_or_checkpoint
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,initial_run_epoch1,1,1,3001,79.92,95.49,87.01,75.02,92.09,82.69,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_234109/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,1,2,3001,85.55,96.32,90.61,78.85,93.43,85.52,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,2,3,6002,91.14,96.56,93.77,86.98,94.28,90.48,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,3,4,9003,94.88,96.79,95.83,90.89,93.43,92.14,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,4,5,12004,95.32,96.67,95.99,93.14,95.74,94.42,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,5,6,15005,93.72,97.51,95.58,93.2,96.72,94.93,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,6,7,18006,95.79,97.27,96.52,93.99,96.96,95.45,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,7,8,21007,95.22,96.91,96.06,94.33,97.2,95.75,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,8,9,24008,95.44,96.91,96.17,94.45,97.32,95.87,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
w/o HSR,SNSA=on; HSR=off; PGD-AT=on,metric_log,continued_from_epoch1_checkpoint,9,10,27009,95.34,97.27,96.3,94.33,97.2,95.75,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260705_221245/metric.log
