setting,module_status,source,phase,epoch,cumulative_epoch,step,dev_precision,dev_recall,dev_f1,test_precision,test_recall,test_f1,metric_source,log_or_checkpoint
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,1,1,3001,82.19,96.44,88.74,78.45,93.43,85.29,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,2,2,6002,90.86,96.79,93.73,87.13,93.92,90.4,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,3,3,9003,97.38,97.03,97.2,95.19,93.92,94.55,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,4,4,12004,97.37,96.91,97.14,96.1,95.99,96.04,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,5,5,15005,98.2,97.15,97.67,97.53,96.11,96.81,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,6,6,18006,97.74,97.51,97.62,97.31,96.84,97.07,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,7,7,21007,98.08,96.91,97.49,97.91,96.84,97.37,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,8,8,24008,97.96,97.15,97.56,97.2,96.96,97.08,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,9,9,27009,97.28,97.74,97.51,96.84,97.08,96.96,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,10,10,30010,96.59,97.51,97.04,97.32,97.08,97.2,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,11,11,33011,97.96,97.15,97.56,98.28,97.2,97.74,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,12,12,36012,98.79,97.03,97.9,98.4,97.08,97.73,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
w/o SNSA+HSR,SNSA=off; HSR=off; PGD-AT=on,metric_log,single_run_partial,13,13,39013,97.28,97.74,97.51,97.91,97.08,97.5,fitlog_metric_log,/root/shared-nvme/projects/difinet/ner-2025-05/logs/log_20260704_161052/metric.log
