epoch,step,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark
1,3001,92.77,89.78,95.96,90.22,87.44,93.19,
2,6002,96.64,97.58,95.72,93.85,95.93,91.85,
3,9003,96.57,96.12,97.03,93.99,94.8,93.19,
4,12004,96.96,97.37,96.56,96.03,96.44,95.62,
5,15005,97.38,97.73,97.03,96.01,98.34,93.8,
6,18006,97.67,98.08,97.27,96.94,97.65,96.23,
7,21007,97.6,98.43,96.79,97.17,98.26,96.11,
8,24008,97.79,98.55,97.03,97.04,98.37,95.74,
9,27009,96.99,96.37,97.62,97.2,97.43,96.96,
10,30010,97.74,97.86,97.62,97.36,98.27,96.47,
11,33011,97.67,98.2,97.15,97.34,98.99,95.74,
12,36012,97.97,98.67,97.27,97.73,98.76,96.72,
13,39013,97.62,97.85,97.39,97.49,98.27,96.72,
14,42014,98.27,98.57,97.98,97.86,98.52,97.2,best_dev
15,45015,97.98,98.21,97.74,97.98,98.64,97.32,best_test
16,48016,97.5,97.62,97.39,97.55,98.27,96.84,
17,51017,98.15,98.8,97.51,97.97,99.01,96.96,
18,54018,97.45,97.28,97.62,97.79,98.52,97.08,
19,57019,97.92,97.98,97.86,97.92,98.64,97.2,
