epoch,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark
0,3.50,100.00,1.78,0.24,50.00,0.12,
1,71.62,97.35,56.65,78.27,96.27,65.94,
2,74.48,99.21,59.62,82.12,97.98,70.68,
3,93.18,97.41,89.31,92.19,97.30,87.59,
4,93.75,95.90,91.69,93.84,97.14,90.75,
5,93.72,94.45,92.99,94.25,96.92,91.73,
6,93.95,94.80,93.11,94.45,96.93,92.09,
7,96.58,97.69,95.49,95.16,98.44,92.09,
8,96.77,97.36,96.20,95.02,97.32,92.82,
9,97.00,97.94,96.08,95.62,98.45,92.94,
10,97.60,98.55,96.67,95.92,99.09,92.94,
11,97.54,98.43,96.67,95.80,98.71,93.07,
12,97.37,97.96,96.79,95.63,98.21,93.19,
13,97.66,98.78,96.56,95.93,98.71,93.31,
14,97.61,98.08,97.15,95.38,97.95,92.94,
15,97.73,98.43,97.03,96.14,98.47,93.92,best_test_f1
16,97.91,98.44,97.39,96.01,98.47,93.67,best_dev_f1_saved_checkpoint
