epoch,step,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark
1,1500,70.78,70.08,71.50,72.74,75.76,69.95,best
2,3000,81.04,73.14,90.86,85.85,82.04,90.02,best
3,4500,88.66,83.01,95.13,87.86,84.09,91.97,best
4,6000,92.02,88.49,95.84,92.49,91.34,93.67,best
5,7500,91.44,87.43,95.84,90.99,89.33,92.70,
6,9000,92.80,90.06,95.72,93.23,91.85,94.65,best
7,10500,93.08,90.47,95.84,94.74,94.22,95.26,best
8,12000,94.63,93.00,96.32,95.11,95.58,94.65,best
9,13500,94.20,92.06,96.44,94.56,93.99,95.13,
10,15000,95.51,94.95,96.08,94.96,94.79,95.13,best
11,16500,94.54,92.50,96.67,93.54,94.65,92.46,
12,18000,96.19,96.53,95.84,95.17,96.97,93.43,best
13,19500,95.29,94.41,96.20,95.05,95.46,94.65,
14,21000,94.21,91.87,96.67,95.67,95.96,95.38,
15,22500,96.05,95.32,96.79,96.44,97.39,95.50,
16,24000,95.44,94.01,96.91,95.62,95.73,95.50,
17,25500,96.73,96.90,96.56,95.56,96.99,94.16,best
