lr;epoch;iteration;global_iteration
4.444444444444445e-07;0;100;100
8.88888888888889e-07;0;200;200
1.3333333333333334e-06;0;300;300
1.777777777777778e-06;0;400;400
2.222222222222222e-06;0;500;500
2.666666666666667e-06;0;600;600
3.1111111111111116e-06;0;700;700
3.555555555555556e-06;0;800;800
4.000000000000001e-06;0;900;900
4.444444444444444e-06;0;1000;1000
4.888888888888889e-06;0;1100;1100
5.333333333333334e-06;0;1200;1200
5.777777777777778e-06;0;1300;1300
6.222222222222223e-06;0;1400;1400
6.666666666666667e-06;0;1500;1500
7.111111111111112e-06;1;100;1600
7.555555555555556e-06;1;200;1700
8.000000000000001e-06;1;300;1800
8.444444444444446e-06;1;400;1900
8.888888888888888e-06;1;500;2000
9.333333333333334e-06;1;600;2100
9.777777777777779e-06;1;700;2200
1.0222222222222223e-05;1;800;2300
1.0666666666666667e-05;1;900;2400
1.1111111111111113e-05;1;1000;2500
1.1555555555555556e-05;1;1100;2600
1.2e-05;1;1200;2700
1.2444444444444446e-05;1;1300;2800
1.288888888888889e-05;1;1400;2900
1.3333333333333333e-05;1;1500;3000
1.377777777777778e-05;2;100;3100
1.4222222222222224e-05;2;200;3200
1.4666666666666666e-05;2;300;3300
1.5111111111111112e-05;2;400;3400
1.555555555555556e-05;2;500;3500
1.6000000000000003e-05;2;600;3600
1.6444444444444444e-05;2;700;3700
1.688888888888889e-05;2;800;3800
1.7333333333333336e-05;2;900;3900
1.7777777777777777e-05;2;1000;4000
1.8222222222222224e-05;2;1100;4100
1.866666666666667e-05;2;1200;4200
1.9111111111111113e-05;2;1300;4300
1.9555555555555557e-05;2;1400;4400
2e-05;2;1500;4500
1.995061728395062e-05;3;100;4600
1.9901234567901237e-05;3;200;4700
1.9851851851851855e-05;3;300;4800
1.9802469135802472e-05;3;400;4900
1.9753086419753087e-05;3;500;5000
1.9703703703703704e-05;3;600;5100
1.9654320987654322e-05;3;700;5200
1.960493827160494e-05;3;800;5300
1.9555555555555557e-05;3;900;5400
1.9506172839506175e-05;3;1000;5500
1.9456790123456793e-05;3;1100;5600
1.9407407407407407e-05;3;1200;5700
1.9358024691358025e-05;3;1300;5800
1.9308641975308646e-05;3;1400;5900
1.925925925925926e-05;3;1500;6000
1.9209876543209878e-05;4;100;6100
1.9160493827160495e-05;4;200;6200
1.9111111111111113e-05;4;300;6300
1.906172839506173e-05;4;400;6400
1.901234567901235e-05;4;500;6500
1.8962962962962966e-05;4;600;6600
1.891358024691358e-05;4;700;6700
1.8864197530864198e-05;4;800;6800
1.8814814814814816e-05;4;900;6900
1.8765432098765433e-05;4;1000;7000
1.871604938271605e-05;4;1100;7100
1.866666666666667e-05;4;1200;7200
1.8617283950617286e-05;4;1300;7300
1.85679012345679e-05;4;1400;7400
1.851851851851852e-05;4;1500;7500
1.846913580246914e-05;5;100;7600
1.8419753086419754e-05;5;200;7700
1.837037037037037e-05;5;300;7800
1.832098765432099e-05;5;400;7900
1.8271604938271607e-05;5;500;8000
1.8222222222222224e-05;5;600;8100
1.8172839506172842e-05;5;700;8200
1.812345679012346e-05;5;800;8300
1.8074074074074074e-05;5;900;8400
1.802469135802469e-05;5;1000;8500
1.797530864197531e-05;5;1100;8600
1.7925925925925927e-05;5;1200;8700
1.7876543209876545e-05;5;1300;8800
1.7827160493827162e-05;5;1400;8900
1.7777777777777777e-05;5;1500;9000
1.7728395061728398e-05;6;100;9100
1.7679012345679015e-05;6;200;9200
1.7629629629629633e-05;6;300;9300
1.7580246913580247e-05;6;400;9400
1.7530864197530865e-05;6;500;9500
1.7481481481481483e-05;6;600;9600
1.74320987654321e-05;6;700;9700
1.7382716049382718e-05;6;800;9800
1.7333333333333336e-05;6;900;9900
1.728395061728395e-05;6;1000;10000
1.7234567901234568e-05;6;1100;10100
1.7185185185185185e-05;6;1200;10200
1.7135802469135806e-05;6;1300;10300
1.708641975308642e-05;6;1400;10400
1.7037037037037038e-05;6;1500;10500
1.6987654320987656e-05;7;100;10600
1.6938271604938274e-05;7;200;10700
1.688888888888889e-05;7;300;10800
1.683950617283951e-05;7;400;10900
1.6790123456790123e-05;7;500;11000
1.674074074074074e-05;7;600;11100
1.669135802469136e-05;7;700;11200
1.6641975308641976e-05;7;800;11300
1.6592592592592594e-05;7;900;11400
1.654320987654321e-05;7;1000;11500
1.649382716049383e-05;7;1100;11600
1.6444444444444444e-05;7;1200;11700
1.6395061728395065e-05;7;1300;11800
1.6345679012345682e-05;7;1400;11900
1.6296296296296297e-05;7;1500;12000
1.6246913580246914e-05;8;100;12100
1.6197530864197532e-05;8;200;12200
1.614814814814815e-05;8;300;12300
1.6098765432098767e-05;8;400;12400
1.6049382716049385e-05;8;500;12500
1.6000000000000003e-05;8;600;12600
1.5950617283950617e-05;8;700;12700
1.5901234567901235e-05;8;800;12800
1.5851851851851852e-05;8;900;12900
1.580246913580247e-05;8;1000;13000
1.5753086419753088e-05;8;1100;13100
1.5703703703703705e-05;8;1200;13200
1.565432098765432e-05;8;1300;13300
1.560493827160494e-05;8;1400;13400
1.555555555555556e-05;8;1500;13500
1.5506172839506176e-05;9;100;13600
1.545679012345679e-05;9;200;13700
1.5407407407407408e-05;9;300;13800
1.5358024691358026e-05;9;400;13900
1.5308641975308643e-05;9;500;14000
1.525925925925926e-05;9;600;14100
1.5209876543209879e-05;9;700;14200
1.5160493827160495e-05;9;800;14300
1.5111111111111112e-05;9;900;14400
1.506172839506173e-05;9;1000;14500
1.5012345679012348e-05;9;1100;14600
1.4962962962962964e-05;9;1200;14700
1.4913580246913581e-05;9;1300;14800
1.4864197530864199e-05;9;1400;14900
1.4814814814814815e-05;9;1500;15000
1.4765432098765433e-05;10;100;15100
1.471604938271605e-05;10;200;15200
1.4666666666666666e-05;10;300;15300
1.4617283950617284e-05;10;400;15400
1.4567901234567903e-05;10;500;15500
1.4518518518518521e-05;10;600;15600
1.4469135802469137e-05;10;700;15700
1.4419753086419755e-05;10;800;15800
1.4370370370370372e-05;10;900;15900
1.4320987654320988e-05;10;1000;16000
1.4271604938271606e-05;10;1100;16100
1.4222222222222224e-05;10;1200;16200
1.417283950617284e-05;10;1300;16300
1.4123456790123457e-05;10;1400;16400
1.4074074074074075e-05;10;1500;16500
1.4024691358024694e-05;11;100;16600
1.3975308641975309e-05;11;200;16700
1.3925925925925928e-05;11;300;16800
1.3876543209876546e-05;11;400;16900
1.3827160493827162e-05;11;500;17000
1.377777777777778e-05;11;600;17100
1.3728395061728397e-05;11;700;17200
1.3679012345679013e-05;11;800;17300
1.362962962962963e-05;11;900;17400
1.3580246913580248e-05;11;1000;17500
1.3530864197530866e-05;11;1100;17600
1.3481481481481482e-05;11;1200;17700
1.34320987654321e-05;11;1300;17800
1.3382716049382717e-05;11;1400;17900
1.3333333333333333e-05;11;1500;18000
1.3283950617283951e-05;12;100;18100
1.323456790123457e-05;12;200;18200
1.3185185185185185e-05;12;300;18300
1.3135802469135804e-05;12;400;18400
1.3086419753086422e-05;12;500;18500
1.303703703703704e-05;12;600;18600
1.2987654320987655e-05;12;700;18700
1.2938271604938273e-05;12;800;18800
1.288888888888889e-05;12;900;18900
1.2839506172839507e-05;12;1000;19000
1.2790123456790124e-05;12;1100;19100
1.2740740740740742e-05;12;1200;19200
1.2691358024691358e-05;12;1300;19300
1.2641975308641976e-05;12;1400;19400
1.2592592592592593e-05;12;1500;19500
1.2543209876543213e-05;13;100;19600
1.2493827160493827e-05;13;200;19700
1.2444444444444446e-05;13;300;19800
1.2395061728395064e-05;13;400;19900
1.234567901234568e-05;13;500;20000
1.2296296296296298e-05;13;600;20100
1.2246913580246915e-05;13;700;20200
1.2197530864197531e-05;13;800;20300
1.2148148148148149e-05;13;900;20400
1.2098765432098767e-05;13;1000;20500
1.2049382716049384e-05;13;1100;20600
1.2e-05;13;1200;20700
1.1950617283950618e-05;13;1300;20800
1.1901234567901236e-05;13;1400;20900
1.1851851851851852e-05;13;1500;21000
1.180246913580247e-05;14;100;21100
1.1753086419753089e-05;14;200;21200
1.1703703703703703e-05;14;300;21300
1.1654320987654322e-05;14;400;21400
1.160493827160494e-05;14;500;21500
1.1555555555555556e-05;14;600;21600
1.1506172839506174e-05;14;700;21700
1.1456790123456791e-05;14;800;21800
1.1407407407407409e-05;14;900;21900
1.1358024691358025e-05;14;1000;22000
1.1308641975308643e-05;14;1100;22100
1.125925925925926e-05;14;1200;22200
1.1209876543209876e-05;14;1300;22300
1.1160493827160494e-05;14;1400;22400
1.1111111111111113e-05;14;1500;22500
1.1061728395061728e-05;15;100;22600
1.1012345679012347e-05;15;200;22700
1.0962962962962965e-05;15;300;22800
1.0913580246913582e-05;15;400;22900
1.0864197530864198e-05;15;500;23000
1.0814814814814816e-05;15;600;23100
1.0765432098765434e-05;15;700;23200
1.071604938271605e-05;15;800;23300
1.0666666666666667e-05;15;900;23400
1.0617283950617285e-05;15;1000;23500
1.0567901234567901e-05;15;1100;23600
1.0518518518518519e-05;15;1200;23700
1.0469135802469136e-05;15;1300;23800
1.0419753086419756e-05;15;1400;23900
1.037037037037037e-05;15;1500;24000
1.032098765432099e-05;16;100;24100
1.0271604938271607e-05;16;200;24200
1.0222222222222223e-05;16;300;24300
1.017283950617284e-05;16;400;24400
1.0123456790123458e-05;16;500;24500
1.0074074074074074e-05;16;600;24600
1.0024691358024692e-05;16;700;24700
9.97530864197531e-06;16;800;24800
9.925925925925927e-06;16;900;24900
9.876543209876543e-06;16;1000;25000
9.827160493827161e-06;16;1100;25100
9.777777777777779e-06;16;1200;25200
9.728395061728396e-06;16;1300;25300
9.679012345679012e-06;16;1400;25400
9.62962962962963e-06;16;1500;25500
9.580246913580248e-06;17;100;25600
9.530864197530865e-06;17;200;25700
9.481481481481483e-06;17;300;25800
9.432098765432099e-06;17;400;25900
9.382716049382717e-06;17;500;26000
9.333333333333334e-06;17;600;26100
9.28395061728395e-06;17;700;26200
